,ID,setting_name,openml_id,learner_name,sampling_strategy_name,test_split_seed,train_split_seed,seed,iteration,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_log_loss
94,935,small,14,rf_entropy,random,0,0,0,10,0.57727273,0.54262268,0.56715439,0.57727273,0.88555887,1.56203035
95,936,small,14,rf_entropy,random,0,0,0,11,0.58939394,0.54801197,0.55166433,0.58939394,0.89271375,1.50407726
96,937,small,14,rf_entropy,random,0,0,0,12,0.63181818,0.600102,0.61737997,0.63181818,0.90586802,1.47149423
97,938,small,14,rf_entropy,random,0,0,0,13,0.61969697,0.60326832,0.61807789,0.61969697,0.90554535,1.52811888
98,939,small,14,rf_entropy,random,0,0,0,14,0.6,0.56155612,0.58044507,0.6,0.89672865,1.47342711
99,940,small,14,rf_entropy,random,0,0,0,15,0.61060606,0.57803289,0.59169076,0.61060606,0.91344123,1.44882716
100,941,small,14,rf_entropy,random,0,0,0,16,0.59848485,0.56152631,0.57101918,0.59848485,0.89745052,1.49787198
101,942,small,14,rf_entropy,random,0,0,0,17,0.62727273,0.59914787,0.61618749,0.62727273,0.90497653,1.44675574
102,943,small,14,rf_entropy,random,0,0,0,18,0.58939394,0.56681306,0.57829244,0.58939394,0.88893225,1.50925935
103,944,small,14,rf_entropy,random,0,0,0,19,0.61969697,0.59630309,0.61223831,0.61969697,0.90360167,1.4512555
104,945,small,14,rf_entropy,random,0,0,0,20,0.60757576,0.56868194,0.58743483,0.60757576,0.89879349,1.49555437
105,5020,small,15,rf_entropy,random,0,0,0,0,0.93506494,0.93454638,0.93500944,0.93506494,0.98472682,0.16066079
106,5021,small,15,rf_entropy,random,0,0,0,1,0.93506494,0.93454638,0.93500944,0.93506494,0.98406457,0.15768172
107,5022,small,15,rf_entropy,random,0,0,0,2,0.92207792,0.92131894,0.9219572,0.92207792,0.9825745,0.17333693
108,5023,small,15,rf_entropy,random,0,0,0,3,0.93506494,0.93476389,0.93481194,0.93506494,0.9817053,0.1603238
109,5024,small,15,rf_entropy,random,0,0,0,4,0.93939394,0.93901306,0.93926017,0.93939394,0.98464404,0.151375
110,5025,small,15,rf_entropy,random,0,0,0,5,0.93506494,0.93476389,0.93481194,0.93506494,0.98418874,0.15435622
111,5026,small,15,rf_entropy,random,0,0,0,6,0.93939394,0.93901306,0.93926017,0.93939394,0.98315397,0.16122607
112,5027,small,15,rf_entropy,random,0,0,0,7,0.93939394,0.93901306,0.93926017,0.93939394,0.98377483,0.15622036
113,5028,small,15,rf_entropy,random,0,0,0,8,0.93506494,0.93476389,0.93481194,0.93506494,0.97793874,0.29852627
114,5029,small,15,rf_entropy,random,0,0,0,9,0.94372294,0.94346204,0.94355428,0.94372294,0.98319536,0.15654401
115,5030,small,15,rf_entropy,random,0,0,0,10,0.93506494,0.93454638,0.93500944,0.93506494,0.98278146,0.1584967
116,5031,small,15,rf_entropy,random,0,0,0,11,0.93073593,0.93030064,0.93048604,0.93073593,0.98133278,0.17618376
117,5032,small,15,rf_entropy,random,0,0,0,12,0.93939394,0.93920972,0.93918065,0.93939394,0.98249172,0.16028358
118,5033,small,15,rf_entropy,random,0,0,0,13,0.93506494,0.93476389,0.93481194,0.93506494,0.98344371,0.15573483
119,5034,small,15,rf_entropy,random,0,0,0,14,0.93506494,0.93476389,0.93481194,0.93506494,0.98021523,0.31046476
120,5035,small,15,rf_entropy,random,0,0,0,15,0.92640693,0.925557,0.92663287,0.92640693,0.98352649,0.16666528
121,5036,small,15,rf_entropy,random,0,0,0,16,0.93073593,0.93030064,0.93048604,0.93073593,0.98141556,0.1712423
122,5037,small,15,rf_entropy,random,0,0,0,17,0.93506494,0.93476389,0.93481194,0.93506494,0.98298841,0.17205682
123,5038,small,15,rf_entropy,random,0,0,0,18,0.93506494,0.93476389,0.93481194,0.93506494,0.98315397,0.15526732
124,5039,small,15,rf_entropy,random,0,0,0,19,0.93506494,0.93454638,0.93500944,0.93506494,0.98211921,0.17000795
125,5040,small,15,rf_entropy,random,0,0,0,20,0.93073593,0.93030064,0.93048604,0.93073593,0.98125,0.17786912
126,1450,small,16,rf_entropy,random,0,0,0,0,0.69242424,0.68943266,0.70778917,0.69242424,0.93706254,1.51538574
